architecture,selected_prefix_count,mean_coverage,mean_hamming_risk,mean_exact_match_error,mean_brier_score,mean_log_loss
ecg_transformer,1787,0.82808155699721964,0.11647080768513314,0.37082633836970719,0.084028219592284861,0.28128922074030177
ecg_transformer,1788,0.8285449490268767,0.11655480984340023,0.37099179716629377,0.084056445347082828,0.28135691727239726
ecg_transformer,1789,0.82900834105653376,0.11656418855971656,0.37097074715856154,0.084075531963728842,0.28140578111925069
ecg_transformer,1790,0.82947173308619104,0.11661080074487873,0.37113594040968345,0.084115202301977846,0.2815103410988346
ecg_transformer,1791,0.82993512511584788,0.11669458403126724,0.37130094919039641,0.084134567676809505,0.28155571310213962
ecg_transformer,1792,0.83039851714550517,0.11677827380952359,0.37146577380952378,0.084222644877489608,0.28177457546602996
ecg_transformer,1793,0.83086190917516223,0.1168990518683768,0.37181632273656812,0.084260185268519125,0.2818632031241925
ecg_transformer,1794,0.83132530120481929,0.11683389074693401,0.37160906726124115,0.084244966028469218,0.28183879845665866
ecg_transformer,1795,0.83178869323447635,0.11691736304549653,0.37195914577530176,0.084270685475669307,0.28189748901771822
ecg_transformer,1796,0.83225208526413341,0.1169636228656271,0.37212323682256865,0.084317691170742684,0.28200343686538926
ecg_transformer,1797,0.83271547729379058,0.11715822667408622,0.37228714524207013,0.084410390794931137,0.28222443921620588
ecg_transformer,1798,0.83317886932344765,0.1172413793103446,0.37263626251390436,0.084458616226998184,0.28234554020847585
ecg_transformer,1799,0.83364226135310471,0.11732443950342759,0.37298499166203447,0.084511170432860869,0.28248186054534546
ecg_transformer,1800,0.83410565338276177,0.11733333333333311,0.37314814814814817,0.084535574044548922,0.28253809978228778
ecg_transformer,1801,0.83456904541241894,0.1174532667036829,0.3734962058115861,0.084623780006625446,0.28276062472592328
ecg_transformer,1802,0.835032437442076,0.11746207917129092,0.37365889752127263,0.08460992163814951,0.28273913047698984
ecg_transformer,1803,0.83549582947173306,0.11754483268626341,0.37400628581992973,0.084656909469726746,0.28284841193406396
ecg_transformer,1804,0.83595922150139013,0.11759053954175881,0.37416851441241689,0.084693530317812682,0.28293385833199008
ecg_transformer,1805,0.83642261353104741,0.11759926131117242,0.3743305632502309,0.08469126850433889,0.2829354213948036
ecg_transformer,1806,0.83688600556070425,0.11771871539313376,0.37449243263196746,0.084745451731611521,0.28306618367206865
ecg_transformer,1807,0.83734939759036153,0.1177273565762772,0.37446965504519464,0.084760707823860651,0.28310821355303889
ecg_transformer,1808,0.83781278962001837,0.11773598820058973,0.3744469026548673,0.084773190424019984,0.28314182665756421
ecg_transformer,1809,0.83827618164967566,0.11774461028192347,0.37442417541920031,0.084775351208836322,0.28315315322326723
ecg_transformer,1810,0.83873957367933272,0.11779005524861856,0.37458563535911599,0.084776805351846771,0.28316203739100948
ecg_transformer,1811,0.83920296570898978,0.11783545002760881,0.37474691698877233,0.084819203151769121,0.28327028482384214
ecg_transformer,1812,0.83966635773864684,0.11795437821927864,0.3750919793966152,0.084840302790171282,0.28332098504706821
ecg_transformer,1813,0.84012974976830401,0.11799963228534632,0.37525280382423237,0.084868066230739392,0.283388099167517
ecg_transformer,1814,0.84059314179796107,0.11808158765159843,0.37541345093715545,0.084903938050211999,0.28347897252096854
ecg_transformer,1815,0.84105653382761814,0.11820018365472888,0.37557392102846648,0.084994801164292366,0.28372505837882805
ecg_transformer,1816,0.84151992585727531,0.11835535976505114,0.37591776798825255,0.085060707211981446,0.28388450730116027
ecg_transformer,1817,0.84198331788693237,0.11840029352412378,0.37607778389286367,0.085102412054610069,0.28398973048113768
ecg_transformer,1818,0.84244670991658943,0.11840850751741817,0.37623762376237629,0.085099338060496452,0.28398980279903746
ecg_transformer,1819,0.84291010194624649,0.118526663001649,0.37658053875755909,0.085122912743415435,0.2840456213001058
ecg_transformer,1820,0.84337349397590378,0.1186446886446884,0.37692307692307692,0.085162233914464855,0.28415325696512822
ecg_transformer,1821,0.84383688600556062,0.11861614497528805,0.37689913966684974,0.085165468621883234,0.28416656937360912
ecg_transformer,1822,0.8443002780352179,0.11869740212220976,0.37724112696670326,0.08519945156005361,0.28424270691591563
ecg_transformer,1823,0.84476367006487474,0.11877857012250842,0.37739989029072962,0.085284049792098096,0.28445049195992028
ecg_transformer,1824,0.84522706209453202,0.11874999999999974,0.37737573099415206,0.085272073771388027,0.28443334156108091
ecg_transformer,1825,0.84569045412418908,0.11883105022831025,0.37753424657534246,0.08531387076524638,0.28454381426644137
ecg_transformer,1826,0.84615384615384615,0.11891201168309577,0.37769258853596205,0.085388958321511443,0.28474015063916219
ecg_transformer,1827,0.84661723818350321,0.11902937420178773,0.3780332056194125,0.08545126715322475,0.28488529014618841
ecg_transformer,1828,0.84708063021316038,0.11914660831509821,0.37837345003646972,0.085510978644534733,0.28502783667505055
ecg_transformer,1829,0.84754402224281744,0.11915436486240179,0.37853107344632769,0.085556359475761568,0.28514422002348144
ecg_transformer,1830,0.8480074142724745,0.11912568306010902,0.37850637522768671,0.085576713740976751,0.2851956386618108
ecg_transformer,1831,0.84847080630213156,0.1191698525395956,0.37866375386855999,0.085594393593379489,0.28523933142249336
ecg_transformer,1832,0.84893419833178874,0.11932314410480323,0.37900291120815138,0.085656680882479297,0.28537757215540727
